Compaint_No,Complaint,Complaint Category,Company,Problem,Summary,Pin Code,City,team
1103,"I am writing to file a complaint regarding the improper use of my credit report by EQUIFAX, INC., as I have noticed unauthorized credit inquiries on my report that I do not recognize in NJ 08879.",Credit Report Misuse,"EQUIFAX, INC.",Unauthorized credit inquiries,Unauthorized credit inquiries.,08879,NJ 08879,Credit Team
1104,"I am writing to file a complaint regarding the improper use of my credit report by EQUIFAX, INC., as I have noticed unauthorized credit inquiries on my report that I do not recognize, associated with the location NJ 08879.",Credit Report Misuse,"EQUIFAX, INC.",Unauthorized credit inquiries,Unauthorized credit inquiries.,NJ 08879,NJ 08879,Credit Team
1105,"I am filing a complaint regarding the improper use of my credit report by EQUIFAX, INC., related to my personal consumer report in NJ 07106.",Credit report misuse,"EQUIFAX, INC.",Improper credit report,Improper credit report.,07106,Newark,Credit Team
1106,"I am writing to file a complaint regarding incorrect personal information on my credit report from EQUIFAX, INC. in PA 19124.",Credit Report Issue,"EQUIFAX, INC.",Incorrect personal information,Incorrect information complaint.,19124,PA 19124,Credit Team
1107,"I am writing to file a complaint regarding the ongoing issue with my credit report, specifically related to EQUIFAX, INC. Despite raising concerns about errors on my report and the company's investigation into the matter, the problem remains unresolved, as the investigation did not rectify the inaccuracies; this issue persists in my report associated with the address in TX 77504.",Credit Report Issue,"EQUIFAX, INC.","Ongoing issue, inaccuracies",Ongoing issue EQUIFAX.,TX 77504,TX 77504,Credit Team
1108,"I am writing to file a complaint regarding a credit reporting issue with EQUIFAX, INC. in TX 77504, as their investigation did not fix an error on my report.",Credit Reporting Issue,"EQUIFAX, INC.",Credit reporting issue,Credit report error,77504,TX 77504,Credit Team
1109,"I am filing a complaint regarding the improper use of my credit report by EQUIFAX, INC. in FL 34952, which falls under the category of credit reporting or other personal consumer reports, where the reporting company used my report improperly.",Credit reporting.,"EQUIFAX, INC.",Improper credit report.,Improper report use,34952,Port St. Lucie,Credit Team
1110,"I am filing a complaint regarding the credit reporting service provided by EQUIFAX, INC. (GA 30038), as there was a problem with the company's investigation into an existing issue, which took more than 30 days.",Credit Reporting Service,"EQUIFAX, INC.",Investigation delay.,Problem with investigation.,GA 30038,GA 30038,Credit Team
1111,"I am writing to file a complaint regarding the improper use of my credit report by EQUIFAX, INC., as there are credit inquiries on my report that I do not recognize, which occurred in AL 36732.",Credit inquiries.,"EQUIFAX, INC.",Improper credit inquiries,Improper credit inquiries,36732,AL 36732,Credit Team
1112,"I would like to file a complaint regarding the improper use of my credit report by EQUIFAX, INC. in NJ 07065, as they have used my personal consumer report without proper authorization.",Credit report misuse,"EQUIFAX, INC.",Improper use credit report,Improper report use,07065,NJ 07065,Credit Team
1113,"I am writing to file a complaint regarding an issue with my credit report from EQUIFAX, INC., GA 30328, where incorrect information that belongs to someone else has been mistakenly included on my report.",Credit Report Error,"EQUIFAX, INC.",Incorrect information included,Incorrect info included,30328,GA 30328,Credit Team
1114,"I am writing to file a complaint regarding Equifax, Inc. for reporting incorrect information on my credit report, specifically an inaccurate account status, affecting my personal consumer report in FL 33162.",Credit Reporting,"Equifax, Inc.",Incorrect information reported.,Equifax reporting inaccuracies.,FL 33162,FL 33162,Credit Team
1115,"I am filing a complaint regarding my credit report due to incorrect personal information being reported by EQUIFAX, INC., specifically regarding my personal details, with the issue arising in FL 33068.",Credit Report.,"EQUIFAX, INC.",Incorrect personal information,Incorrect personal information.,FL 33068,FL 33068,Credit Team
1116,"I am filing a complaint regarding the improper use of my personal consumer report by EQUIFAX, INC. concerning the credit reporting issue, as they have used my report improperly in Alabama, 35215.",Credit reporting issue,"EQUIFAX, INC.",Improper use report,Improper report use.,35215,Birmingham,Credit Team
1117,"I am filing a complaint regarding the improper use of my credit report by EQUIFAX, INC., as I have noticed credit inquiries on my report that I do not recognize, and I reside in TX 79766.",Credit report misuse,"EQUIFAX, INC.",Improper credit inquiries,Improper credit inquiries,TX 79766,TX 79766,Credit Team
1118,"I am writing to file a complaint regarding my general-purpose credit card or charge card with EQUIFAX, INC., as there is incorrect information on my credit report, specifically concerning the account status, which is inaccurately reported, and I request immediate correction to resolve this issue in FL 32114.",Credit report issue,"EQUIFAX, INC.",Incorrect information reported,Complaint about incorrect information.,FL 32114,FL 32114,Credit Team
1119,"I would like to file a complaint regarding my general-purpose credit card or charge card as it appears that incorrect account status information has been reported on my credit report by EQUIFAX, INC., which is based in Washington, DC 20002.",Credit card.,"EQUIFAX, INC.",Incorrect account status,Incorrect account status.,20002,"Washington, DC.",Credit Team
1120,"I would like to file a complaint regarding credit reporting issues with EQUIFAX, INC. (GA 30281), specifically concerning incorrect information on my report that appears to belong to someone else.",Credit Reporting Issues,"EQUIFAX, INC.",Incorrect information reported,Incorrect credit report,GA 30281,GA 30281,Credit Team
1121,"I am writing to file a complaint regarding an issue with my credit report from Equifax, Inc., as it contains incorrect information that belongs to someone else; I reside in NY 11413.",Credit report error,"Equifax, Inc.",Incorrect credit report,Credit report error.,11413,NY 11413,Credit Team
1122,"I am writing to file a complaint regarding an issue with Navy Federal Credit Union in TX 76109, specifically concerning credit reporting or other personal consumer reports. The problem pertains to the company's investigation into an existing issue, where I was not notified of the investigation status or results.",Credit reporting.,Navy Federal Credit Union,Investigation notification lacking,Navy Federal complaint.,76109,TX 76109,Credit Team
1123,"I am filing a complaint regarding Credit reporting or other personal consumer reports, specifically addressing the issue with TransUnion Intermediate Holdings, Inc. in OH 44512, where the investigation into an existing problem with my credit report took more than 30 days, which is unacceptable and a violation of the timely resolution standard.",Credit reporting,"TransUnion Intermediate Holdings, Inc.",Credit report investigation,Complaint about delayed investigation.,44512,OH 44512,Credit Team
1124,"I am writing to file a complaint regarding incorrect account information on my credit report provided by TransUnion Intermediate Holdings, Inc. (TX 77627).",Incorrect account information,TransUnion Intermediate Holdings,Incorrect account information,Incorrect account information.,TX 77627,TX 77627,Information Team
1125,"I am writing to file a complaint regarding incorrect information on my credit report, specifically that the information belongs to someone else; this error is in my Equifax report, located in the state of Texas, zip code 76549.",Credit report error,Equifax.,Incorrect information.,Incorrect information on report.,76549,Killeen,Credit Team
1126,"I am writing to express my dissatisfaction with EQUIFAX, INC. regarding their inadequate investigation into an existing problem with my credit report, as their investigation failed to correct an error on my report; this issue remains unresolved despite my efforts to address it, and I am located in IL 60561.",Credit report error,"EQUIFAX, INC.",Inadequate investigation.,Dissatisfaction with investigation.,IL 60561,IL 60561,Credit Team
1127,"I am writing to file a complaint regarding the incorrect information on my credit report with TransUnion Intermediate Holdings, Inc. (TX 77049), where old information has reappeared or has never been removed, negatively impacting my personal consumer report.",Incorrect information.,TransUnion Intermediate Holdings,Incorrect information reappeared,Incorrect credit report.,TX 77049,TX 77049,Information Team
1128,"I am filing a complaint regarding credit reporting or other personal consumer reports, specifically with EQUIFAX, INC., as there is incorrect information on my report that belongs to someone else, located in TX 77449.",Credit reporting.,"EQUIFAX, INC.",Incorrect information.,Incorrect report information,77449,TX 77449,Credit Team
1129,"I would like to file a complaint regarding an issue with my credit report investigation: despite raising a problem with Equifax, Inc. about an error on my credit report, their investigation has failed to correct this error, which remains unresolved; I am located in TX 78220.",Credit report error,"Equifax, Inc.",Credit report error,Credit report error.,78220,San Antonio,Credit Team
1130,"I am writing to file a complaint regarding incorrect information on my credit report, as it contains information that belongs to someone else; this issue is with EQUIFAX, INC., located in IL 60644.",Incorrect information.,"EQUIFAX, INC.",Incorrect information.,Incorrect information complaint.,60644,IL,Information Team
1131,"I am filing a complaint against EQUIFAX, INC. in CA 92551 for the improper use of my credit report, as the reporting company utilized my personal consumer report inappropriately.",Credit Reporting,"EQUIFAX, INC.",Improper credit use,Improper credit report.,92551,CA 92551,Credit Team
1132,"I am writing to file a complaint regarding incorrect information on my credit report, specifically incorrect account information, which has been reported by EQUIFAX, INC. in PA 15235.",Credit Report Error,"EQUIFAX, INC.",Incorrect account information,Incorrect credit report.,15235,PA 15235,Credit Team
1133,"I am filing a complaint regarding Equifax, Inc. (TX 77584) due to an unresolved error on my credit report; specifically, the company's investigation into the issue failed to correct the mistake.",Credit report error,"Equifax, Inc.",Unresolved error.,Unresolved error credit.,77584,TX 77584,Credit Team
1134,"I am writing to file a complaint regarding the incorrect account information on my credit report provided by EQUIFAX, INC., specifically concerning my residence in NY 12550, as the report contains erroneous data negatively impacting my creditworthiness.",Incorrect account information,"EQUIFAX, INC.",Incorrect account information,Incorrect account information.,NY 12550,NY 12550,Information Team
1135,"I am writing to file a complaint regarding inaccurate information on my credit report; specifically, there is incorrect information that belongs to someone else, and this issue pertains to EQUIFAX, INC. in FL 33127.",Credit Report Error,"EQUIFAX, INC.",Inaccurate information.,Inaccurate credit information.,FL 33127,FL 33127,Credit Team
1136,"I am writing to file a complaint regarding my credit report with EQUIFAX, INC., as it contains incorrect information that belongs to someone else; this erroneous data has been reported under my personal consumer report associated with PA 18102.",Credit report error,"EQUIFAX, INC.",Incorrect information reported,Complaint about EQUIFAX.,PA 18102,PA 18102,Credit Team
1137,"I am writing to file a complaint against EQUIFAX, INC. regarding a credit reporting issue in which their investigation failed to correct an error on my report, despite my efforts to address the problem, and I am located in FL 33027.",Credit reporting issue,"EQUIFAX, INC.",Credit reporting issue,Equifax credit error.,FL 33027,FL 33027,Credit Team
1138,"I am writing to file a complaint regarding the improper use of my personal consumer report by EQUIFAX, INC. in TN 38002, concerning their misuse of my report for purposes not authorized or permissible.",Improper Use,"EQUIFAX, INC.",Improper use report,Improper use complaint,38002,TN 38002,Breach Support
1139,"I am filing a complaint regarding Equifax, Inc. at TX 79936 for their inadequate handling of a credit reporting issue, as their investigation into an existing problem took more than 30 days to resolve.",Credit reporting issue,"Equifax, Inc.",Credit reporting issue,Equifax handling issue,TX 79936,TX 79936,Credit Team
1140,"I am writing to file a complaint regarding incorrect information on my credit report, specifically an inaccurate account status listed by EQUIFAX, INC. in NJ 07031.",Credit Report Error,"EQUIFAX, INC.",Incorrect information.,Complaint about incorrect information.,07031,NJ 07031,Credit Team
1141,"I am writing to file a complaint regarding the improper use of my credit report by EQUIFAX, INC., located in NC 27519, as they utilized my personal consumer report without authorization.",Unauthorized use.,"EQUIFAX, INC.",Improper use report,Unauthorized credit report use.,NC 27519,NC 27519,Breach Support
1142,"I am filing a complaint regarding credit reporting issues with EQUIFAX, INC. in NJ 07063, specifically concerning improper use of my credit report and unrecognized credit inquiries.",Credit reporting issues,"EQUIFAX, INC.",Credit reporting issues,Credit reporting issues.,07063,NJ 07063,Credit Team
1143,"I am writing to file a complaint regarding EQUIFAX, INC., as they did not fix an error on my credit report after their investigation into an existing problem, despite my previous notifications, and this issue persists in my credit report for my account in TX 77433.",Credit report error,"EQUIFAX, INC.",Error on report,Complaint about Equifax.,TX 77433,TX 77433,Credit Team
1144,"I am filing a complaint regarding a credit reporting issue with EQUIFAX, INC. in TX 77433, where their investigation did not correct an error on my report.",Credit Reporting Issue,"EQUIFAX, INC.",Credit reporting issue,Credit reporting issue.,TX 77433,TX 77433,Credit Team
1145,"I am writing to file a complaint regarding an issue with my credit report from Equifax, Inc., as it contains incorrect information that belongs to someone else, and I reside in IL 60466.",Credit report error,"Equifax, Inc.",Incorrect information.,Complaint about credit report.,IL 60466,Park Forest,Credit Team
1146,"I am filing a complaint against EQUIFAX, INC., GA 39819, for the improper use of my credit report, as they utilized my personal consumer report in an unauthorized manner.",Improper use.,"EQUIFAX, INC.","Improper credit report

",Improper credit use.,GA 39819,GA 39819,Breach Support
1147,"I am writing to file a complaint regarding the credit reporting services of EQUIFAX, INC. in OH 44312, as their investigation into an existing problem did not fix an error on my report.",Credit reporting.,"EQUIFAX, INC.",Error on report,Equifax report error,44312,OH 44312,Credit Team
1148,"I am writing to file a complaint regarding incorrect account information on my credit report, as provided by EQUIFAX, INC., under the category of credit reporting or other personal consumer reports, with the incorrect information being reported from their office located in TX 79912.",Credit reporting,"EQUIFAX, INC.",Incorrect account information.,Incorrect account information.,TX 79912,TX 79912,Credit Team
1149,"I am writing to file a complaint regarding incorrect account information on my credit report provided by EQUIFAX, INC. in NY 10701.",Incorrect account information,"EQUIFAX, INC.",Incorrect account information,Incorrect account information.,10701,NY,Information Team
1150,"I am writing to file a complaint regarding incorrect information on my credit report, specifically related to my account status, which I discovered through Equifax, Inc. in Texas; as a servicemember, this erroneous reporting is particularly concerning and I request immediate rectification.",Incorrect information.,"Equifax, Inc.",Incorrect information.,Incorrect credit report.,Texas.,Texas,Information Team
1151,"I am writing to file a complaint regarding the improper use of my credit report by EQUIFAX, INC., as they have used my personal consumer report without proper authorization in NY 11364.",Improper use.,"EQUIFAX, INC.",Improper credit report.,Improper use complaint.,11364,NY 11364,Breach Support
1152,"I am filing a complaint regarding EQUIFAX, INC. (KS 66047) due to their failure to complete a proper investigation into a credit reporting issue within the legally required 30-day period.",Credit Reporting Issue,"EQUIFAX, INC.",Credit reporting issue,Equifax investigation delay.,KS 66047,KS 66047,Credit Team
1153,"I am writing to file a complaint regarding my credit reporting issue with EQUIFAX, INC. (VA 24019), as their investigation did not fix an error on my report, specifically related to a problem with the company's investigation into an existing problem.",Credit reporting issue,"EQUIFAX, INC.",Credit reporting issue,Credit reporting issue.,24019,VA 24019,Credit Team
1154,"I would like to file a complaint regarding the improper use of my credit report by EQUIFAX, INC., as my personal consumer report was used without authorization, in NY 10029.",Credit report misuse,"EQUIFAX, INC.",Improper use.,Improper credit use.,10029,NY 10029,Credit Team
1155,"I am writing to file a complaint regarding the incorrect information on my credit report generated by EQUIFAX, INC., specifically stating that my account status is incorrect, and this issue is affecting my financial standing; I reside in MD 21234.",Credit report error,"EQUIFAX, INC.",Incorrect information.,Incorrect credit report.,MD 21234,MD 21234,Credit Team
1156,"I am filing a complaint regarding my credit reporting with EQUIFAX, INC. in LA XXXXX, as there was an issue with the company's investigation into an existing problem, and I was not notified of the investigation status or results.",Credit Reporting,"EQUIFAX, INC.",Investigation issue,Credit reporting complaint,LA XXXXX,LA,Credit Team
1157,"I am writing to file a complaint regarding improper use of my credit report, as there are unrecognized credit inquiries listed on my report from EQUIFAX, INC. in NJ 07031.",Credit report misuse,"EQUIFAX, INC.",Unrecognized credit inquiries,Improper credit inquiries.,07031,NJ 07031,Credit Team
1158,"I am writing to file a complaint regarding credit reporting, specifically about the improper use of my personal consumer report by EQUIFAX, INC. in TX 77014.",Credit reporting,"EQUIFAX, INC.",Improper credit reporting.,Improper use report.,77014,TX 77014,Credit Team
1159,"I am writing to file a complaint regarding incorrect account information on my credit report provided by EQUIFAX, INC., specifically detailing inaccuracies in my personal consumer report, which is particularly troubling given my status as a servicemember residing in NC 283XX.",Incorrect account information.,"EQUIFAX, INC.",Incorrect account information,Incorrect account information.,NC 283XX,NC 283XX,Information Team
1160,"I am filing a complaint regarding Equifax, Inc. (MI 48035) for their handling of my credit reporting issue, specifically due to their failure to notify me of the status or results of their investigation into an existing problem.",Credit Reporting Issue,"Equifax, Inc.",Credit reporting issue,Equifax complaint filed.,MI 48035,MI 48035,Credit Team
1161,"I am submitting a complaint regarding Credit reporting or other personal consumer reports with EQUIFAX, INC. in VA 20148, as their investigation into an existing problem with my credit report took more than 30 days to resolve.",Credit reporting.,"EQUIFAX, INC.",Investigation delay,Credit report delay,20148,VA 20148,Credit Team
1162,"I am filing a complaint regarding credit reporting by EQUIFAX, INC. (TX 78702) due to incorrect information on my report, specifically that the information pertains to someone else.",Credit reporting.,"EQUIFAX, INC.",Incorrect information.,Complaint about EQUIFAX.,78702,Austin,Credit Team
1163,"I am filing a complaint regarding the credit reporting by Equifax, Inc. (TX 77042), as there is incorrect information on my report specifically related to the account status being inaccurate.",Credit reporting.,"Equifax, Inc.",Incorrect account status,Incorrect account status,77042,Houston,Credit Team
1164,"I am filing a complaint regarding credit reporting issues with EQUIFAX, INC. in NY 11701, specifically about incorrect information on my report where old information reappears or never goes away.",Credit reporting issues,"EQUIFAX, INC.",Incorrect information reappears.,Credit reporting issue.,11701,NY 11701,Credit Team
1165,"I am filing a complaint regarding improper use of my credit report by EQUIFAX, INC., specifically concerning how my personal consumer report was used inappropriately by the reporting company, located in FL 33428.",Credit report misuse,"EQUIFAX, INC.",Improper use report,Improper use complaint.,FL 33428,FL 33428,Credit Team
1166,"I am writing to file a complaint regarding Equifax, Inc., located in Los Angeles, CA, about a problem with their investigation into an existing issue with my credit report; I was not notified of the investigation status or results.",Credit report error,"Equifax, Inc.",Investigation notification failure,Complaint about Equifax investigation.,"Los Angeles, CA",Los Angeles,Credit Team
1167,"I am writing to file a complaint regarding the credit reporting issue with EQUIFAX, INC. for incorrectly listing information that belongs to someone else on my report, which has caused significant inconvenience and potential damage to my credit standing; this incident occurred in FL 33063.",Credit reporting issue,"EQUIFAX, INC.",Credit reporting issue,Credit reporting issue.,FL 33063,FL 33063,Credit Team
1168,"I am writing to file a complaint regarding the improper use of my credit report by EQUIFAX, INC., as I have noticed several credit inquiries on my report that I do not recognize, and this issue occurred in FL 33406.",Credit Report Misuse,"EQUIFAX, INC.",Improper credit inquiries,Improper credit inquiries.,FL 33406,FL 33406,Credit Team
1169,"I am writing to file a complaint regarding incorrect information on my credit report produced by EQUIFAX, INC., as the report erroneously includes information that belongs to someone else, and I reside in TN 38109.",Incorrect Information,"EQUIFAX, INC.",Incorrect information.,Incorrect information report.,38109,TN 38109,Information Team
1170,"I am writing to file a complaint regarding the improper use of my credit report by EQUIFAX, INC., as I have noticed unfamiliar credit inquiries on my report which I did not authorize or recognize, occurring in FL 34772.",Credit report misuse,"EQUIFAX, INC.",Improper credit inquiries,Improper credit inquiries.,FL 34772,FL 34772,Credit Team
1171,"""I am filing a complaint regarding improper use of my credit report by EQUIFAX, INC. in MN 55119, as the reporting company used my personal consumer report without authorization.""",Credit report misuse,"EQUIFAX, INC.",Improper use report,Improper use credit report,55119,MN 55119,Credit Team
1172,"I am filing a complaint regarding the improper use of my credit report by EQUIFAX, INC. in TX 75040, as they have utilized my personal consumer report inappropriately without my consent.",Credit Report Misuse,"EQUIFAX, INC.",Improper use of credit report.,Improper credit report use.,75040,Garland,Credit Team
1173,"I am writing to file a complaint regarding improper use of my credit report by EQUIFAX, INC., as I have noticed unrecognized credit inquiries on my report for Credit reporting or other personal consumer reports in CA 91730.",Credit reporting.,"EQUIFAX, INC.",Improper credit inquiries,Improper credit inquiries.,CA 91730,CA 91730,Credit Team
1174,"I would like to file a complaint regarding Credit reporting or other personal consumer reports; specifically, I believe that EQUIFAX, INC. in NY 11236 has improperly used my credit report.",Credit reporting.,"EQUIFAX, INC.",Improper use report,Equifax improper use,11236,NY 11236,Credit Team
1175,"I am writing to file a complaint against EQUIFAX, INC., regarding repeated attempts to collect a debt that I do not owe; I reside in FL 33024 and have no knowledge of this debt.",Debt Collection,"EQUIFAX, INC.",Repeated debt collection,Complaint against EQUIFAX.,FL 33024,FL 33024,Debt Team
1176,"I am writing to file a complaint regarding Equifax, Inc. (CA 92114) for their inadequate investigation into an existing problem with my credit report, as the investigation did not resolve the error present on my report.",Credit report error,"Equifax, Inc.",Inadequate investigation.,Inadequate investigation error.,92114,San Diego.,Credit Team
1177,"I am writing to file a complaint regarding incorrect information on my credit report provided by EQUIFAX, INC. Specifically, the account information listed is inaccurate and needs to be corrected; this issue pertains to my report in CT 06512.",Credit report error,"EQUIFAX, INC.",Incorrect information.,Incorrect credit report.,CT 06512,CT 06512,Credit Team
1178,"I am writing to file a complaint regarding an issue with my credit report from EQUIFAX, INC., as it contains incorrect information that belongs to someone else; specifically, this error is affecting my report in CA 91352.",Credit report error,"EQUIFAX, INC.",Incorrect information.,Incorrect credit report,91352,CA 91352,Credit Team
1179,"I am writing to file a complaint regarding Credit reporting or other personal consumer reports; specifically, I have encountered a problem with EQUIFAX, INC. in their investigation into an existing error on my report, as their investigation did not fix the error, and my issue has occurred in the 46235 region.",Credit reporting,"EQUIFAX, INC.",Investigation error.,Credit reporting issue.,46235,Indianapolis.,Credit Team
1180,"I am writing to file a complaint regarding incorrect account information on my credit report, specifically under the category of credit reporting or other personal consumer reports; the erroneous data pertains to EQUIFAX, INC. and my address is in TX 77493.",Credit reporting,"EQUIFAX, INC.",Incorrect account information.,Incorrect account information.,TX 77493,TX 77493,Credit Team
1181,"I am writing to file a complaint regarding a debt collection attempt by EQUIFAX, INC. in FL 33054, as I received written notification about a debt I do not know, which failed to disclose that it was an attempt to collect a debt.",Debt collection attempt,"EQUIFAX, INC.",Debt collection attempt.,Debt collection complaint.,FL 33054,FL 33054,Debt Team
1182,"I am writing to file a complaint regarding the incorrect information on my credit report, specifically that the information listed belongs to someone else, as reported by EQUIFAX, INC. with the address TN 38125.",Credit Report Dispute,"EQUIFAX, INC.",Incorrect information.,Incorrect credit report.,38125,TN,Credit Team
1183,"I am a servicemember residing in FL 331XX and am filing a complaint regarding improper use of my credit report by EQUIFAX, INC., as there are credit inquiries on my report that I do not recognize.",Credit report issues,"EQUIFAX, INC.",Improper credit inquiries,Improper credit inquiries,331XX,FL 331XX,Credit Team
1184,"I am writing to file a complaint against EQUIFAX, INC. regarding incorrect information on my credit report, as it contains information that belongs to someone else; this error needs to be urgently addressed.",Incorrect information.,"EQUIFAX, INC.",Incorrect information.,Incorrect information reported.,Not provided,Not specified,Information Team
1185,"I am filing a complaint against EQUIFAX, INC. regarding their credit reporting services in FL 33351, as they took more than 30 days to investigate an existing problem with my personal consumer report, which is an unacceptable delay.",Credit Reporting Services,"EQUIFAX, INC.",Unacceptable delay.,Complaint against Equifax.,FL 33351,FL 33351,Credit Team
1186,"I am writing to file a complaint regarding incorrect information on my credit report provided by EQUIFAX, INC., specifically noting that the information listed belongs to someone else; my report has been erroneously linked to another individual, and I reside in PA 19140.",Credit Report Issue,"EQUIFAX, INC.",Incorrect information.,Incorrect credit information.,19140,Philadelphia,Credit Team
1187,"I am writing to file a complaint regarding incorrect information on my credit report, specifically that the information belongs to someone else, with EQUIFAX, INC. in PA 19140.",Credit report error.,"EQUIFAX, INC.",Incorrect information.,Complaint about incorrect information.,PA 19140,PA 19140,Credit Team
1188,"I am writing to file a complaint regarding incorrect information on my credit report related to my general-purpose credit card or charge card; specifically, the account status is incorrect as reported by EQUIFAX, INC. in NY 10950.",Credit Report Error,"EQUIFAX, INC.",Incorrect account status,Incorrect information reported.,10950,NY 10950,Credit Team
1189,"I am writing to file a complaint regarding Equifax, Inc. (located in IN 46220) due to their inadequate investigation into an error on my credit report, which failed to resolve the issue as expected concerning the credit reporting or other personal consumer reports.",Credit Report Error,"Equifax, Inc.",Inadequate investigation.,Inadequate error investigation.,IN 46220,IN 46220,Credit Team
1190,"I am writing to formally complain about incorrect account information on my credit report provided by EQUIFAX, INC., which is listed under the location NY 12180.",Incorrect account information,"EQUIFAX, INC.",Incorrect account information,Incorrect account information.,NY 12180,NY 12180,Information Team
1191,"I am filing a complaint regarding the improper use of my credit report by EQUIFAX, INC. in MA 02332, as the reporting company has used my personal consumer report inappropriately.",Credit report usage,"EQUIFAX, INC.",Improper credit report use,Improper credit report.,02332,MA,Credit Team
1192,"I am writing to file a complaint regarding a credit reporting issue with EQUIFAX, INC. in MI 48035, specifically concerning a problem with the company's investigation into an existing problem, as I was not notified of the investigation status or results.",Credit Reporting Issue,"EQUIFAX, INC.",Credit reporting issue.,Credit reporting issue.,48035,MI 48035,Credit Team
1193,"I am writing to file a complaint regarding an issue with my credit report, specifically that it contains incorrect information belonging to someone else, as provided by EQUIFAX, INC. in FL 33578.",Credit Report Issue,"EQUIFAX, INC.",Incorrect credit information,Incorrect credit report.,FL 33578,FL 33578,Credit Team
1194,"I am filing a complaint regarding my credit report with EQUIFAX, INC. as it contains inaccurate public record information, which is incorrect and affects my personal consumer report; this issue is associated with my record in FL 32738.",Credit Report Inaccuracy,"EQUIFAX, INC.",Inaccurate information.,Complaint about EQUIFAX.,FL 32738,FL 32738,Credit Team
1195,"I am filing a complaint regarding Credit reporting or other personal consumer reports, specifically with EQUIFAX, INC. in IL 60016, as their investigation did not resolve an error on my report.",Credit reporting.,"EQUIFAX, INC.",Error on report,Credit reporting error,IL 60016,Des Plaines,Credit Team
1196,"I am writing to file a complaint against EQUIFAX, INC. for the improper use of my credit report, as I have identified credit inquiries on my report that I do not recognize, which occurred in FL 33160.",Credit Report Misuse,"EQUIFAX, INC.",Improper credit inquiries.,Complaint against Equifax.,33160,FL 33160,Credit Team
1197,"I am filing a complaint regarding Credit reporting or other personal consumer reports with EQUIFAX, INC. (TX 77338) because there was a problem with the company's investigation into an existing issue, specifically that the investigation took more than 30 days to be completed.",Credit reporting.,"EQUIFAX, INC.",Investigation delay,Credit reporting complaint.,77338,TX 77338,Credit Team
1198,"I am writing to file a complaint regarding the incorrect personal information on my credit report, specifically with EQUIFAX, INC., as my report contains inaccuracies in my personal details for my location in MI 48390.",Incorrect information.,"EQUIFAX, INC.",Incorrect personal information.,Incorrect personal information.,MI 48390,MI 48390,Information Team
1199,"I am filing a complaint regarding Credit reporting or other personal consumer reports, specifically about a problem with EQUIFAX, INC.'s investigation into an existing issue, as their investigation did not resolve an error on my report, and I am located in TX 78233.",Credit reporting,"EQUIFAX, INC.",Investigation not resolved,Complaint about Equifax.,TX 78233,TX 78233,Credit Team
1200,"I am writing to file a complaint regarding my credit report with Equifax, Inc., as it contains incorrect account information; I reside in FL 33065.",Credit Report Error,"Equifax, Inc.",Incorrect account information,Complaint about Equifax.,33065,Coral Springs,Credit Team
1201,"I am writing to file a complaint against EQUIFAX, INC. regarding a credit reporting issue in which their investigation failed to correct an error on my consumer report, despite my providing all necessary information to resolve the matter; my address is TX 78237.",Credit reporting issue,"EQUIFAX, INC.",Credit reporting error,Complaint against Equifax.,TX 78237,San Antonio,Credit Team
202,"I am writing to file a complaint about incorrect information on my credit report issued by EQUIFAX, INC., as it contains data that belongs to someone else, and my address is PA 19153",Incorrect information.,"EQUIFAX, INC.",Incorrect information.,Complaint about incorrect information.,"Sure, please go ahead and ask the questions one by one.",PA 19153,Information Team
203,"I am writing to file a complaint about incorrect information on my credit report issued by EQUIFAX, INC., as it contains data that belongs to someone else, and my address is PA 19153",Incorrect information,"EQUIFAX, INC.",Incorrect information.,Complaint about incorrect information.,"1. Who issued the credit report?
   - EQUIFAX, INC.

2. What is the nature of the complaint?
   - Incorrect information

3. Whose data does the credit report contain?
   - Someone else

4. What is the address mentioned?
   - PA 19153",PA 19153,Information Team
204,"I am writing to file a complaint about incorrect information on my credit report issued by EQUIFAX, INC., as it contains data that belongs to someone else, and my address is PA 19153",Incorrect information.,"EQUIFAX, INC.",Incorrect information.,Incorrect credit report,"Sure, I'm ready to answer the questions.

1. Who is the complaint against?
   - EQUIFAX, INC.

2. What is the nature of the complaint?
   - Incorrect information

3. What does the incorrect information pertain to?
   - Credit report

4. Who does the incorrect information belong to?
   - Someone else

5. What is the pin code of the address mentioned?
   - 19153",Philadelphia,Information Team
205,credit issue i m poojan from maharashtra,Credit Issue,"1. Issue type?
- Credit issue

2. Customer name?
- Poojan

3. Customer location?
- Maharashtra

4. Context description?
- Complaint logged",Credit issue,"Credit issue, Maharashtra",What's your question?,Maharashtra,Credit Team
